Dispute no,Creation Date,Assigned User,Invoice Amount,Trx Type,Dispute Status,Dispute Amount,Reason Code,Requester,Days Pending,Inv Creation Date,Notified Date,Approval Date,Credit Memo Creation Date,Credit Memo Amount,New Invoice Amount,Country,Customer Number,Activity Status,Activity Result,Updated Activity Result,Recipient Team - Broad Level
13.2188353353969-D,30-11-2020,?OM-C341@.com,1869289.12,S/Paa1-TT,COMPLETE,-0.01,1-Rebill,DHEER90@.com,20.97,16-10-2020,08-12-2020,,07-12-2020,-1869289.12,,IN,14.3205881759751-C,NOTIFIED,,Approved,GOM CMRB
13.2188355488963-D,30-11-2020,?IREC342@.com,1416000,Sup C1-TT,COMPLETE,-0.01,1-Rebill,LIMA.164@.com,12.82,19-10-2020,15-12-2020,28-12-2020,15-12-2020,-1416000,,IN,14.1717469380045-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188357623956-D,30-11-2020,?IREC343@.com,165160.28,Invoi1-TT,NOT_APPROVED,-0.01,2-Rebill,DOINI97@.com,7.72,07-05-2020,10-12-2020,18-12-2020,,,,CH,14.3161329959508-C,COMPLETE,REJECTED,Rejected,OKS
13.2188359758948-D,30-11-2020,?IREC343@.com,190490.66,Invoi1-TT,NOT_APPROVED,-0.01,2-Rebill,DOINI97@.com,7.72,31-10-2020,10-12-2020,18-12-2020,,,,CH,14.3161329959508-C,COMPLETE,REJECTED,Rejected,OKS
13.218836189394-D,30-11-2020,?OM-C341@.com,366796,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.94,05-02-2020,07-12-2020,,14-12-2020,-366796,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188364028932-D,30-11-2020,?OM-C341@.com,798128,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.92,02-01-2020,07-12-2020,,14-12-2020,-798128,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188366163923-D,30-11-2020,?OM-C341@.com,51478,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.92,09-12-2019,07-12-2020,,14-12-2020,-51478,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188368298914-D,30-11-2020,?CLOU344@.com,1408705,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,0.01,02-07-2020,03-12-2020,03-12-2020,02-12-2020,-1408705,,KR,13.0369094277297-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188370433903-D,30-11-2020,?CLOU344@.com,1060877,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,0.01,03-06-2020,03-12-2020,03-12-2020,02-12-2020,-1060877,,KR,13.0369094277297-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188372568893-D,30-11-2020,?ELEN345@.com,26327.38,Invoi1-TT,NOT_APPROVED,-26327.38,4-Rebill,BEATR52@.com,0.03,27-08-2020,01-12-2020,01-12-2020,,,,FR,14.0661538105122-C,COMPLETE,REJECTED,Rejected,Collections
13.2188374703882-D,30-11-2020,?CLOU344@.com,1507,S/Paa1-TT,COMPLETE,-0.01,3-Rebill,RANJI257@.com,0.86,27-11-2020,10-12-2020,11-12-2020,09-12-2020,-1507,,AU,14.5119469389263-C,COMPLETE,COMPLETE,Approved,CSDM
13.218837683887-D,30-11-2020,?IREC346@.com,4979731.56,Invoi1-TT,COMPLETE,-3059323.73,5-Credit,ARCHA42@.com,6.75,07-04-2020,30-11-2020,07-12-2020,07-12-2020,-3610001.95,,IN,14.030413186975-C,COMPLETE,APPROVED,Approved,AR
13.2188378973858-D,30-11-2020,?IREC346@.com,2214693.21,Invoi1-TT,COMPLETE,-1360610.61,5-Credit,ARCHA42@.com,6.75,07-04-2020,30-11-2020,07-12-2020,07-12-2020,-1605520.49,,IN,14.030413186975-C,COMPLETE,APPROVED,Approved,AR
13.2188381108845-D,30-11-2020,?CLOU344@.com,71781.39,S/Paa1-TT,COMPLETE,-71781.39,6-Credit,DEILY86@.com,0.86,29-01-2020,30-11-2020,01-12-2020,30-11-2020,-71781.39,,BR,14.4662395556394-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188383243832-D,30-11-2020,?CLOU344@.com,71781.39,S/Paa1-TT,COMPLETE,-71781.39,6-Credit,DEILY86@.com,0.86,29-04-2020,30-11-2020,01-12-2020,30-11-2020,-71781.39,,BR,14.4662395556394-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188385378819-D,30-11-2020,?CLOU344@.com,71781.39,S/Paa1-TT,COMPLETE,-71781.39,6-Credit,DEILY86@.com,0.86,30-07-2020,30-11-2020,01-12-2020,30-11-2020,-71781.39,,BR,14.4662395556394-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188387513804-D,30-11-2020,?CLOU344@.com,61011.02,S/Paa1-TT,COMPLETE,-61011.02,6-Credit,DEILY86@.com,0.86,08-11-2019,30-11-2020,01-12-2020,30-11-2020,-61011.02,,BR,14.4662395556394-C,COMPLETE,COMPLETE,Approved,CSDM
13.218838964879-D,30-11-2020,?OM-C347@.com,1117486008,B-Sys1-TT,COMPLETE,-0.01,4-Rebill,PATRI232@.com,0.65,28-10-2020,09-12-2020,10-12-2020,09-12-2020,-1117486008,,CO,14.1525315245128-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2188391783774-D,30-11-2020,?CLOU344@.com,61011.01,S/Paa1-TT,COMPLETE,-61011.01,6-Credit,DEILY86@.com,0.86,30-07-2019,30-11-2020,01-12-2020,30-11-2020,-61011.01,,BR,14.4662395556394-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188393918758-D,30-11-2020,?IREC348@.com,2711026.07,Invoi1-TT,COMPLETE,-65529.44,7-Credit,PRIYA245@.com,0.57,15-08-2020,07-12-2020,08-12-2020,08-12-2020,-65529.44,,US,11.7564045524596-C,COMPLETE,APPROVED,Approved,AR
13.2188396053742-D,30-11-2020,?IREC348@.com,2710996.92,Invoi1-TT,COMPLETE,-72635.05,7-Credit,PRIYA245@.com,0.62,15-08-2020,07-12-2020,08-12-2020,08-12-2020,-72635.05,,US,11.7564045524596-C,COMPLETE,APPROVED,Approved,AR
13.2188398188725-D,30-11-2020,?IREC349@.com,353951.03,Invoi1-TT,COMPLETE,-14925.8,8-Credit,AYESH50@.com,0.76,19-05-2018,07-12-2020,08-12-2020,08-12-2020,-14926.16,,US,14.3412326844195-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.2188400323708-D,30-11-2020,?IREC343@.com,1060.44,Invoi1-TT,COMPLETE,-0.01,4-Rebill,MIGUE200@.com,0.01,22-02-2020,07-12-2020,07-12-2020,07-12-2020,-1060.44,1060.44,LV,14.1687925351405-C,COMPLETE,COMPLETE,Approved,OKS
13.218840245869-D,30-11-2020,?IREC348@.com,353951.03,Invoi1-TT,COMPLETE,-76287.43,8-Credit,AYESH50@.com,0.93,19-08-2018,03-12-2020,04-12-2020,04-12-2020,-76287.43,,US,14.3412326844195-C,COMPLETE,APPROVED,Approved,AR
13.2188404593672-D,30-11-2020,?IREC348@.com,353951.03,Invoi1-TT,COMPLETE,-76287.43,8-Credit,AYESH50@.com,0.94,18-11-2018,03-12-2020,04-12-2020,04-12-2020,-76287.43,,US,14.3412326844195-C,COMPLETE,APPROVED,Approved,AR
13.2188406728653-D,30-11-2020,?IREC348@.com,353950.43,Invoi1-TT,COMPLETE,-76287.38,8-Credit,AYESH50@.com,0.94,17-02-2019,03-12-2020,04-12-2020,04-12-2020,-76287.38,,US,14.3412326844195-C,COMPLETE,APPROVED,Approved,AR
13.2188408863633-D,30-11-2020,?OKSA350@.com,1493.65,Invoi1-TT,COMPLETE,-1493.65,9-Credit,ABDUL2@.com,4.1,04-09-2020,03-12-2020,07-12-2020,05-12-2020,-1493.65,,US,14.382326467956-C,COMPLETE,COMPLETE,Approved,OKS
13.2188410998613-D,30-11-2020,?OKSA350@.com,1590.95,Invoi1-TT,COMPLETE,-1590.95,9-Credit,ABDUL2@.com,4.11,04-09-2020,03-12-2020,07-12-2020,05-12-2020,-1590.95,,US,14.3823204833392-C,COMPLETE,COMPLETE,Approved,OKS
13.2188413133593-D,30-11-2020,?IREC348@.com,3402.47,LIC C1-TT,COMPLETE,-3402.47,10-Credit,PREET241@.com,0.1,21-10-2020,01-12-2020,01-12-2020,01-12-2020,-3402.46,,US,14.515000475158-C,COMPLETE,APPROVED,Approved,AR
13.2188415268572-D,30-11-2020,?IREC351@.com,42975.97,Invoi1-TT,PENDING_APPROVAL,-0.01,4-Rebill,MARIO189@.com,18.49,07-09-2020,10-12-2020,,,,,MX,14.0172461561257-C,NOTIFIED,,Pending Approval,OKS
13.218841740355-D,30-11-2020,YASEE333@.com,27578.67,920Co1-TT,NOT_APPROVED,-302.48,2-Rebill,MARIB188@.com,1.95,30-11-2020,30-11-2020,02-12-2020,,,,US,14.3632494567809-C,COMPLETE,REJECTED,Rejected,Collections
13.2188419538528-D,30-11-2020,?IREC352@.com,2353.34,Invoi1-TT,COMPLETE,-0.01,11-Rebill,NEETH222@.com,0.03,26-11-2020,07-12-2020,07-12-2020,06-12-2020,-2353.34,2353.34,AU,14.3109156708619-C,COMPLETE,COMPLETE,Approved,OKS
13.2188421673505-D,30-11-2020,?IREC342@.com,4976.6,Sup C1-TT,COMPLETE,-0.01,12-Rebill,XIANG329@.com,0,25-11-2020,10-12-2020,10-12-2020,09-12-2020,-4976.6,,CN,14.4369621411605-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188423808482-D,30-11-2020,?IREC342@.com,3708.91,Sup C1-TT,COMPLETE,-0.01,12-Rebill,XIANG329@.com,0,25-11-2020,10-12-2020,10-12-2020,09-12-2020,-3708.91,,CN,14.4369621411605-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188425943458-D,30-11-2020,?IREC342@.com,6118.28,Sup C1-TT,COMPLETE,-0.01,12-Rebill,XIANG329@.com,0,30-11-2020,10-12-2020,10-12-2020,09-12-2020,-6118.28,,CN,14.4369621411605-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188428078434-D,30-11-2020,?IREC346@.com,134648.8,Lic C1-TT,COMPLETE,-134648.8,13-Credit,ANKIT39@.com,0.26,21-10-2020,01-12-2020,02-12-2020,01-12-2020,-134648.8,,PH,14.1652278315575-C,COMPLETE,COMPLETE,Approved,AR
13.218843021341-D,30-11-2020,?IREC353@.com,589008.52,Proje1-TT,COMPLETE,-0.01,4-Rebill,VINAY324@.com,0.03,10-11-2020,23-12-2020,23-12-2020,14-12-2020,-589008.52,,IN,14.0303985095648-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188432348384-D,30-11-2020,?IREC346@.com,88868.2,Sup C1-TT,COMPLETE,-88868.2,13-Credit,ANKIT39@.com,0.27,21-10-2020,01-12-2020,02-12-2020,01-12-2020,-88868.2,,PH,14.1652278315575-C,COMPLETE,COMPLETE,Approved,AR
13.2188434483359-D,30-11-2020,?IREC346@.com,3599883.37,Syste1-TT,COMPLETE,-3599883.37,13-Credit,ANKIT39@.com,0.29,21-10-2020,03-12-2020,04-12-2020,02-12-2020,-3599883.37,,PH,14.1652278315575-C,COMPLETE,COMPLETE,Approved,AR
13.2188436618332-D,30-11-2020,?IREC352@.com,919144.42,Invoi1-TT,COMPLETE,-1,14-Rebill,ANKIT39@.com,0.03,12-11-2020,13-12-2020,13-12-2020,10-12-2020,-919144.42,971031.6,PH,14.1457236357116-C,COMPLETE,COMPLETE,Approved,OKS
13.2188438753305-D,30-11-2020,?IREC354@.com,389913.3,Edu C1-TT,COMPLETE,-0.01,15-Rebill,NANDI220@.com,0.02,23-11-2020,08-12-2020,08-12-2020,08-12-2020,-389913.3,,IN,14.2154749053938-C,COMPLETE,COMPLETE,Approved,Education
13.2188440888278-D,30-11-2020,?OM-C355@.com,58960686,Syste1-TT,COMPLETE,-1,14-Rebill,ZHIME339@.com,0.65,04-11-2020,07-12-2020,08-12-2020,07-12-2020,-58960686,,JP,14.1038147680498-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.218844302325-D,01-12-2020,?IREC343@.com,80616.08,Invoi1-TT,COMPLETE,-0.01,3-Rebill,ALESS9@.com,0.01,25-05-2020,07-12-2020,07-12-2020,04-12-2020,-80616.08,78583.74,DE,14.0637089757368-C,COMPLETE,COMPLETE,Approved,OKS
13.2188445158222-D,01-12-2020,?IREC356@.com,3141.6,Lic C1-TT,COMPLETE,-3141.6,13-Credit,DIANA91@.com,0.07,16-11-2020,02-12-2020,02-12-2020,02-12-2020,-3141.6,,SE,14.0711255360509-C,COMPLETE,COMPLETE,Approved,AR
13.2188447293193-D,01-12-2020,?OM-C341@.com,228.79,S/Paa1-TT,COMPLETE,-0.01,11-Rebill,RONAQ269@.com,20.68,23-11-2020,08-12-2020,,08-12-2020,-228.79,,AU,14.5118182964892-C,NOTIFIED,,Approved,GOM CMRB
13.2188449428163-D,01-12-2020,?IREC356@.com,9486.99,Invoi1-TT,COMPLETE,-0.01,2-Rebill,MIGUE200@.com,0.88,29-11-2019,07-12-2020,07-12-2020,07-12-2020,-9486.99,,LV,14.0739673009062-C,COMPLETE,COMPLETE,Approved,AR
13.2188451563133-D,01-12-2020,?IREC356@.com,54002.49,Invoi1-TT,COMPLETE,-0.01,4-Rebill,MIGUE200@.com,0.89,27-11-2020,07-12-2020,07-12-2020,07-12-2020,-54002.49,,LV,14.0919795085491-C,COMPLETE,COMPLETE,Approved,AR
13.2188453698103-D,01-12-2020,?OKSA350@.com,287.38,Invoi1-TT,COMPLETE,-0.01,14-Rebill,PRIYA245@.com,4.07,31-08-2020,10-12-2020,14-12-2020,08-12-2020,-1149.53,1149.53,US,11.7564045524596-C,COMPLETE,COMPLETE,Approved,OKS
13.2188455833072-D,01-12-2020,?OKSA350@.com,287.39,Invoi1-TT,COMPLETE,-0.01,14-Rebill,PRIYA245@.com,4.07,31-08-2020,10-12-2020,14-12-2020,08-12-2020,-1149.53,1149.53,US,11.7564045524596-C,COMPLETE,COMPLETE,Approved,OKS
13.218845796804-D,01-12-2020,?OKSA350@.com,287.38,Invoi1-TT,COMPLETE,-0.01,14-Rebill,PRIYA245@.com,4.07,31-08-2020,10-12-2020,14-12-2020,08-12-2020,-1149.53,1149.53,US,11.7564045524596-C,COMPLETE,COMPLETE,Approved,OKS
13.2188460103008-D,01-12-2020,?OKSA350@.com,287.38,Invoi1-TT,COMPLETE,-0.01,14-Rebill,PRIYA245@.com,4.07,31-08-2020,10-12-2020,14-12-2020,08-12-2020,-1149.51,1149.53,US,11.7564045524596-C,COMPLETE,COMPLETE,Approved,OKS
13.2188462237976-D,01-12-2020,?IREC357@.com,23520,Proje1-TT,COMPLETE,-0.01,1-Rebill,HALED123@.com,14.59,09-11-2020,06-12-2020,20-12-2020,04-12-2020,-23520,,SS,14.4799404049492-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188464372943-D,01-12-2020,?IREC351@.com,287.05,Inv O1-TT,COMPLETE,-0.01,2-Rebill,EDUAR102@.com,1.79,09-11-2020,07-12-2020,09-12-2020,07-12-2020,-287.05,,BR,#VALUE!,COMPLETE,COMPLETE,Approved,OKS
13.2188466507909-D,01-12-2020,?IREC358@.com,2055012.24,Invoi1-TT,COMPLETE,-334.71,5-Credit,VIRGI327@.com,2.65,30-11-2019,04-12-2020,06-12-2020,06-12-2020,-398.3,,DE,14.0763997780286-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.2188468642875-D,01-12-2020,?IREC358@.com,2043148.17,Invoi1-TT,COMPLETE,-334.71,5-Credit,VIRGI327@.com,2.65,29-02-2020,04-12-2020,06-12-2020,06-12-2020,-398.3,,DE,14.0763997780286-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.218847077784-D,01-12-2020,?CLOU344@.com,5993.59,S/Paa1-TT,COMPLETE,-0.01,11-Rebill,NITHI227@.com,0.21,16-11-2020,09-12-2020,09-12-2020,08-12-2020,-5993.59,,US,14.2173002309352-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188472912805-D,01-12-2020,?IREC359@.com,1745827.69,Proje1-TT,COMPLETE,-0.01,14-Rebill,SUSIE307@.com,0.07,23-11-2020,08-12-2020,08-12-2020,07-12-2020,-1745827.69,,MX,14.1602509216362-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188475047769-D,01-12-2020,?IREC360@.com,5418.74,Invoi1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,0.04,11-11-2020,07-12-2020,07-12-2020,07-12-2020,-5418.74,,MX,14.0196449585354-C,COMPLETE,COMPLETE,Approved,AR
13.2188479317696-D,01-12-2020,?IREC351@.com,9640.74,Invoi1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,4.68,27-07-2020,10-12-2020,15-12-2020,10-12-2020,-9640.74,,MX,14.4844994439647-C,COMPLETE,COMPLETE,Approved,OKS
13.2188481452659-D,01-12-2020,?IREC351@.com,848.95,Invoi1-TT,COMPLETE,-0.01,4-Rebill,SERGI283@.com,4.68,10-08-2020,10-12-2020,15-12-2020,10-12-2020,-848.95,,MX,14.4844994439647-C,COMPLETE,COMPLETE,Approved,OKS
13.2188487857544-D,01-12-2020,?IREC359@.com,1360379.56,Proje1-TT,COMPLETE,-0.01,4-Rebill,YADIR332@.com,0.07,28-01-2020,08-12-2020,08-12-2020,07-12-2020,-1360379.56,,MX,14.0173120607234-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188489992504-D,01-12-2020,?IREC348@.com,2165.14,Invoi1-TT,COMPLETE,-42.92,7-Credit,RHEA.265@.com,1.13,24-09-2020,03-12-2020,04-12-2020,04-12-2020,-42.92,,US,14.3981220256398-C,COMPLETE,APPROVED,Approved,AR
13.2188492127464-D,01-12-2020,?IREC351@.com,3480.36,Invoi1-TT,COMPLETE,-0.01,2-Rebill,FELIP113@.com,2.9,20-11-2020,05-12-2020,08-12-2020,05-12-2020,-3480.36,-3480.36,BR,14.0194223640012-C,COMPLETE,COMPLETE,Approved,OKS
13.2188494262424-D,01-12-2020,?IREC351@.com,7880.42,Inv O1-TT,COMPLETE,-0.01,2-Rebill,FELIP113@.com,2.9,20-11-2020,05-12-2020,08-12-2020,05-12-2020,-7880.42,-3480.36,BR,14.0194223640012-C,COMPLETE,COMPLETE,Approved,OKS
13.2188496397383-D,01-12-2020,?CLOU344@.com,11350.48,S/Paa1-TT,COMPLETE,-11350.48,16-Credit,FELIP113@.com,2.8,07-10-2020,04-12-2020,07-12-2020,04-12-2020,-11350.48,,BR,14.4935888708812-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188498532341-D,01-12-2020,?CLOU344@.com,10569.08,S/Paa1-TT,COMPLETE,-10569.08,16-Credit,FELIP113@.com,2.8,05-11-2020,04-12-2020,07-12-2020,04-12-2020,-10569.08,,BR,14.4935888708812-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188500667299-D,01-12-2020,?OPAP361@.com,4137.87,920Co1-TT,COMPLETE,-4137.87,17-Credit,ASHIS45@.com,0,31-08-2020,08-12-2020,08-12-2020,04-12-2020,-4137.87,,US,14.3834373261282-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188502802257-D,01-12-2020,?OPAP361@.com,1634.09,920Co1-TT,COMPLETE,-1634.09,17-Credit,ASHIS45@.com,0,28-09-2020,08-12-2020,08-12-2020,04-12-2020,-1634.09,,US,14.3834373261282-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188504937214-D,01-12-2020,?IREC348@.com,1355.75,Syste1-TT,COMPLETE,-923.38,18-Credit,SHREE289@.com,1.12,11-08-2020,09-12-2020,10-12-2020,10-12-2020,-988.01,,US,14.3860148131044-C,COMPLETE,APPROVED,Approved,AR
13.218850707217-D,01-12-2020,?CLOU344@.com,500,S/Paa1-TT,COMPLETE,-500,9-Credit,MONIC214@.com,0.92,07-05-2020,07-12-2020,08-12-2020,07-12-2020,-500,,PR,14.2883215858687-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188509207126-D,01-12-2020,?IREC351@.com,32975559,B-Inv1-TT,COMPLETE,-0.01,4-Rebill,KARLA148@.com,1.79,10-08-2020,08-12-2020,10-12-2020,08-12-2020,-32975559,,CO,14.0531170250369-C,COMPLETE,COMPLETE,Approved,OKS
13.2188511342081-D,01-12-2020,?IREC351@.com,54455.33,Inv O1-TT,COMPLETE,-0.01,12-Rebill,FILIP114@.com,3.88,17-11-2020,04-12-2020,08-12-2020,04-12-2020,-54455.33,-54455.33,BR,14.339953202802-C,COMPLETE,COMPLETE,Approved,OKS
13.2188513477036-D,01-12-2020,?IREC351@.com,22608.84,Invoi1-TT,COMPLETE,-0.01,12-Rebill,FILIP114@.com,3.88,17-11-2020,04-12-2020,08-12-2020,04-12-2020,-22608.84,-54455.33,BR,14.339953202802-C,COMPLETE,COMPLETE,Approved,OKS
13.218851561199-D,01-12-2020,?OKSA350@.com,47479.23,Invoi1-TT,COMPLETE,-47479.23,9-Credit,MALIK176@.com,3.79,18-10-2020,11-12-2020,15-12-2020,11-12-2020,-47479.23,,US,14.0209070035808-C,COMPLETE,COMPLETE,Approved,OKS
13.2188517746944-D,01-12-2020,?OM-C341@.com,259084060.2,B-S/P1-TT,COMPLETE,-0.01,19-Rebill,KARLA148@.com,20.83,08-09-2020,08-12-2020,,08-12-2020,-259084060.2,,CO,14.4266227963536-C,NOTIFIED,,Approved,GOM CMRB
13.2188519881897-D,01-12-2020,?IREC356@.com,34462.88,Invoi1-TT,COMPLETE,-0.01,2-Rebill,OANA.229@.com,0.02,20-09-2019,02-12-2020,02-12-2020,02-12-2020,-34462.88,,LV,14.0740317513489-C,COMPLETE,COMPLETE,Approved,AR
13.218852201685-D,01-12-2020,?IREC356@.com,4143.84,Invoi1-TT,COMPLETE,-0.01,2-Rebill,OANA.229@.com,0.01,20-09-2019,02-12-2020,02-12-2020,02-12-2020,-4143.84,,LV,14.0740317513489-C,COMPLETE,COMPLETE,Approved,AR
13.2188524151802-D,01-12-2020,?OM-C341@.com,66000,S/Paa1-TT,PENDING_APPROVAL,-66000,13-Credit,SHEN.288@.com,12.29,15-07-2020,16-12-2020,,,,,JP,14.1141695591942-C,NOTIFIED,,Pending Approval,GOM CMRB
13.2188526286754-D,01-12-2020,?CLOU344@.com,205.45,S/Paa1-TT,COMPLETE,-0.01,12-Rebill,XIANG329@.com,0.02,30-09-2020,08-12-2020,08-12-2020,,,,CN,14.229764633656-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188528421705-D,01-12-2020,?IREC358@.com,683532.46,Invoi1-TT,COMPLETE,-0.01,14-Rebill,LARIS156@.com,0.28,12-10-2020,14-12-2020,14-12-2020,11-12-2020,-683532.46,683532.46,BE,14.3047448239751-C,COMPLETE,,Approved,Cash Apps
13.2188530556655-D,02-12-2020,?IREC343@.com,560.11,Invoi1-TT,COMPLETE,-0.01,3-Rebill,LUCIA170@.com,0.02,21-10-2020,14-12-2020,15-12-2020,10-12-2020,-560.11,-560.11,FR,14.1117880347929-C,COMPLETE,COMPLETE,Approved,OKS
13.2188532691606-D,02-12-2020,?IREC362@.com,9190.5,Edu C1-TT,COMPLETE,-9190.5,2-Rebill,PAVAN234@.com,0,30-09-2020,07-12-2020,07-12-2020,07-12-2020,-9190.5,,LV,14.1092240410424-C,COMPLETE,COMPLETE,Approved,Education
13.2188534826555-D,02-12-2020,?IREC356@.com,114732.24,S/Paa1-TT,COMPLETE,-57282.24,8-Credit,MIRUN207@.com,1.1,08-09-2015,10-12-2020,11-12-2020,11-12-2020,-57282.24,,SS,14.1729527251822-C,COMPLETE,APPROVED,Approved,AR
13.2188536961504-D,02-12-2020,?IREC356@.com,40800,S/Paa1-TT,COMPLETE,-20400,8-Credit,MIRUN207@.com,4.86,12-09-2015,02-12-2020,07-12-2020,07-12-2020,-20400,,SS,14.1729527251822-C,COMPLETE,APPROVED,Approved,AR
13.2188539096453-D,02-12-2020,?IREC343@.com,147880.24,Invoi1-TT,NOT_APPROVED,-0.01,4-Rebill,DOINI97@.com,6.73,20-11-2020,03-12-2020,10-12-2020,,,,CH,14.0839312305578-C,COMPLETE,REJECTED,Rejected,OKS
13.2188541231401-D,02-12-2020,?IREC346@.com,74.3,Syste1-TT,COMPLETE,-74.3,13-Credit,PREET242@.com,3.88,23-09-2020,02-12-2020,06-12-2020,06-12-2020,-74.3,,SG,14.30749440113-C,COMPLETE,APPROVED,Approved,AR
13.2188543366348-D,02-12-2020,?IREC346@.com,6706534.95,Lic C1-TT,COMPLETE,-6706534.95,13-Credit,VINAY324@.com,2.88,27-11-2020,04-12-2020,07-12-2020,07-12-2020,-6706534.95,,IN,14.2414685231092-C,COMPLETE,APPROVED,Approved,AR
13.2188545501295-D,02-12-2020,?IREC346@.com,325.28,Syste1-TT,COMPLETE,-325.28,13-Credit,PREET242@.com,3.88,22-10-2020,02-12-2020,06-12-2020,06-12-2020,-325.28,,SG,14.30749440113-C,COMPLETE,APPROVED,Approved,AR
13.2188547636241-D,02-12-2020,?IREC358@.com,255.2,Edu C1-TT,COMPLETE,-0.01,11-Rebill,IULIA131@.com,1.12,24-11-2020,08-12-2020,09-12-2020,07-12-2020,-255.2,,DE,14.1393476614893-C,COMPLETE,,Approved,Cash Apps
13.2188549771187-D,02-12-2020,?IREC356@.com,14471.54,Invoi1-TT,COMPLETE,-14471.54,5-Credit,LUCIA170@.com,2.28,27-02-2020,08-12-2020,10-12-2020,10-12-2020,-14471.54,,FR,14.065450533541-C,COMPLETE,COMPLETE,Approved,AR
13.2188551906133-D,02-12-2020,?CLOU344@.com,43241.77,S/Paa1-TT,COMPLETE,-0.01,14-Rebill,ANDRE32@.com,0.8,28-08-2019,17-12-2020,18-12-2020,16-12-2020,-43241.77,,DE,14.0631887665754-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188554041078-D,02-12-2020,?CLOU344@.com,43241.77,S/Paa1-TT,COMPLETE,-0.01,14-Rebill,ANDRE32@.com,0.8,28-11-2019,17-12-2020,18-12-2020,16-12-2020,-43241.77,,DE,14.0631887665754-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188556176022-D,02-12-2020,?CLOU344@.com,46589.6,S/Paa1-TT,COMPLETE,-23294.8,20-Credit,LAURA159@.com,2.98,24-11-2020,04-12-2020,07-12-2020,04-12-2020,-23294.8,,CZ,14.3935848804832-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188558310966-D,02-12-2020,?CLOU344@.com,43241.77,S/Paa1-TT,COMPLETE,-0.01,14-Rebill,ANDRE32@.com,0.8,28-02-2020,17-12-2020,18-12-2020,16-12-2020,-43241.77,,DE,14.0631887665754-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188560445909-D,02-12-2020,?IREC343@.com,135043.37,Invoi1-TT,COMPLETE,-0.01,4-Rebill,LAURA159@.com,5.93,05-11-2020,09-12-2020,14-12-2020,08-12-2020,-135043.37,135043.37,LV,14.0780056640807-C,COMPLETE,COMPLETE,Approved,OKS
13.2188562580852-D,02-12-2020,?IREC346@.com,706661.5,Invoi1-TT,COMPLETE,-113065.97,2-Rebill,NEETH222@.com,6.91,14-11-2020,22-12-2020,,,,,AU,11.800498231265-C,NOTIFIED,,Approved,AR
13.2188564715794-D,02-12-2020,?CLOU344@.com,43241.77,S/Paa1-TT,COMPLETE,-0.01,14-Rebill,ANDRE32@.com,0.8,28-05-2020,17-12-2020,18-12-2020,16-12-2020,-43241.77,,DE,14.0631887665754-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188566850736-D,02-12-2020,?CLOU344@.com,42151.64,S/Paa1-TT,COMPLETE,-0.01,14-Rebill,ANDRE32@.com,0.8,28-08-2020,17-12-2020,18-12-2020,16-12-2020,-42151.64,,DE,14.0631887665754-C,COMPLETE,COMPLETE,Approved,CSDM
