Dispute no,Creation Date,Assigned User,Invoice Amount,Trx Type,Dispute Status,Dispute Amount,Reason Code,Requester,Days Pending,Inv Creation Date,Notified Date,Approval Date,Credit Memo Creation Date,Credit Memo Amount,New Invoice Amount,Country,Customer Number,Activity Status,Activity Result,Updated Activity Result,Recipient Team - Broad Level
13.2193855625116-D,10-12-2020,?IREC356@.com,24394.44,Invoi1-TT,COMPLETE,-0.01,1-Rebill,OANA.229@.com,0.06,23-02-2019,11-12-2020,11-12-2020,11-12-2020,-24394.44,,LV,14.1310962434731-C,COMPLETE,COMPLETE,Approved,AR
13.2193857758758-D,10-12-2020,?IREC342@.com,74045.13,Sup C1-TT,COMPLETE,-15669.22,21-Rebill,ROBER267@.com,4.41,09-11-2020,23-12-2020,28-12-2020,23-12-2020,-74045.13,,BE,14.4759910323445-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193859892399-D,10-12-2020,?IREC358@.com,2355.37,Invoi1-TT,COMPLETE,-447.52,23-Rebill,ROBER267@.com,0.93,23-10-2020,14-12-2020,15-12-2020,11-12-2020,-2355.37,2802.89,RO,14.1150159747502-C,COMPLETE,,Approved,Cash Apps
13.219386202604-D,10-12-2020,?IREC346@.com,1159688.95,Invoi1-TT,COMPLETE,-0.01,1-Rebill,DHEER90@.com,6.36,07-12-2020,18-12-2020,24-12-2020,18-12-2020,-1159688.95,4638755.8,IN,14.150396070696-C,COMPLETE,COMPLETE,Approved,AR
13.219386415968-D,10-12-2020,?IREC343@.com,636.45,Invoi1-TT,COMPLETE,-636.45,9-Credit,ANA.M27@.com,2.94,04-12-2020,11-12-2020,14-12-2020,11-12-2020,-636.45,,CH,14.3954840323354-C,COMPLETE,COMPLETE,Approved,OKS
13.2193866293319-D,10-12-2020,?IREC352@.com,732662.09,Invoi1-TT,COMPLETE,-732662.09,9-Credit,SUDHE302@.com,6.2,26-09-2020,10-12-2020,17-12-2020,11-12-2020,-732662.09,,IN,14.4632598471176-C,COMPLETE,COMPLETE,Approved,OKS
13.2193868426958-D,10-12-2020,?OM-C367@.com,2794.84,Lic C1-TT,COMPLETE,-108.06,2-Rebill,BIANC55@.com,0.17,23-06-2020,23-12-2020,23-12-2020,23-12-2020,-2794.84,,DE,14.2027112404826-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193870560597-D,10-12-2020,?IREC343@.com,2724.39,Invoi1-TT,COMPLETE,-0.01,2-Rebill,BIANC55@.com,3.97,09-10-2020,24-12-2020,27-12-2020,24-12-2020,-2724.39,2727.07,DE,14.2027112404826-C,COMPLETE,COMPLETE,Approved,OKS
13.2193872694234-D,10-12-2020,?OM-C341@.com,101109.59,S/Paa1-TT,NOT_APPROVED,-0.01,3-Rebill,TATIA311@.com,4.5,05-11-2020,10-12-2020,15-12-2020,,,,ZA,14.0798097047668-C,COMPLETE,REJECTED,Rejected,GOM CMRB
13.2193874827872-D,10-12-2020,?OM-C367@.com,2724.29,Lic C1-TT,COMPLETE,-106.63,2-Rebill,BIANC55@.com,0.17,05-11-2020,23-12-2020,23-12-2020,23-12-2020,-2724.29,,DE,14.233856201201-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193876961509-D,10-12-2020,?IREC349@.com,23619.17,Invoi1-TT,COMPLETE,-0.01,2-Rebill,AFROZ4@.com,1.03,26-02-2020,16-12-2020,17-12-2020,14-12-2020,-23619.17,70857.51,US,10.6350318922596-C,COMPLETE,,Approved,Cash Apps
13.2193879095145-D,10-12-2020,?IREC349@.com,23619.17,Invoi1-TT,COMPLETE,-0.01,2-Rebill,AFROZ4@.com,1.03,26-02-2020,16-12-2020,17-12-2020,14-12-2020,-23619.17,70857.51,US,10.6350318922596-C,COMPLETE,,Approved,Cash Apps
13.2193881228781-D,10-12-2020,?IREC349@.com,23619.17,Invoi1-TT,COMPLETE,-0.01,2-Rebill,AFROZ4@.com,1.03,26-02-2020,16-12-2020,17-12-2020,14-12-2020,-23619.17,70857.51,US,10.6350318922596-C,COMPLETE,,Approved,Cash Apps
13.2193883362416-D,10-12-2020,?OKSA350@.com,23619.15,Invoi1-TT,COMPLETE,-0.01,2-Rebill,AFROZ4@.com,0.95,26-02-2020,15-12-2020,16-12-2020,11-12-2020,-23619.15,70857.51,US,10.6350318922596-C,COMPLETE,COMPLETE,Approved,OKS
13.2193885496051-D,10-12-2020,?IREC349@.com,2578.75,LIC C1-TT,COMPLETE,-2578.75,13-Credit,RYAN.277@.com,2.96,05-09-2019,11-12-2020,14-12-2020,14-12-2020,-2578.75,,US,14.3817104513963-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.2193887629685-D,10-12-2020,?IREC348@.com,471.9,Invoi1-TT,COMPLETE,-471.9,13-Credit,RYAN.277@.com,0.96,30-07-2020,15-12-2020,16-12-2020,16-12-2020,-471.9,,US,14.3817104513963-C,COMPLETE,COMPLETE,Approved,AR
13.2193889763319-D,10-12-2020,?IREC351@.com,11908.06,Invoi1-TT,COMPLETE,-11908.06,9-Credit,GABRI117@.com,0.84,05-11-2020,10-12-2020,11-12-2020,11-12-2020,-11908.06,,CR,14.1729744338092-C,COMPLETE,APPROVED,Approved,OKS
13.2193891896952-D,10-12-2020,?IREC357@.com,24907.5,Proje1-TT,COMPLETE,-0.01,11-Rebill,DENIS87@.com,0.94,19-05-2020,14-12-2020,15-12-2020,14-12-2020,-24907.5,,PL,13.0421335710696-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193894030585-D,10-12-2020,?OM-C341@.com,994.49,S/Paa1-TT,PENDING_APPROVAL,-994.49,39-Credit,DEILY86@.com,8.47,04-12-2020,20-12-2020,,,,,BR,14.4679356335148-C,NOTIFIED,,Pending Approval,GOM CMRB
13.2193896164217-D,10-12-2020,?IREC343@.com,28719.6,Invoi1-TT,COMPLETE,-0.01,11-Rebill,DENIS87@.com,4.07,05-12-2020,17-12-2020,22-12-2020,16-12-2020,-28719.6,28719.59,PL,13.0421335710696-C,COMPLETE,COMPLETE,Approved,OKS
13.2193898297849-D,10-12-2020,?IREC343@.com,56507.17,Invoi1-TT,COMPLETE,-0.01,11-Rebill,DENIS87@.com,4.07,05-12-2020,17-12-2020,22-12-2020,16-12-2020,-56507.17,56507.16,PL,13.0421335710696-C,COMPLETE,COMPLETE,Approved,OKS
13.219390043148-D,10-12-2020,?OMAP372@.com,802564.7,Lic C1-TT,NOT_APPROVED,-0.01,2-Rebill,SIDDH292@.com,2.95,01-09-2020,20-12-2020,23-12-2020,,,,CA,14.4266613823645-C,COMPLETE,REJECTED,Rejected,GOM CMRB
13.2193902565111-D,10-12-2020,?IREC349@.com,1921088.4,Invoi1-TT,COMPLETE,-23264.1,7-Credit,SUMUK305@.com,0.7,08-07-2020,14-12-2020,15-12-2020,15-12-2020,-24796.19,,US,14.311110996252-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.2193904698741-D,10-12-2020,?IREC356@.com,14179.21,Syste1-TT,COMPLETE,-14179.21,16-Credit,ROZAL275@.com,2.75,24-09-2020,11-12-2020,14-12-2020,14-12-2020,-14179.21,,TR,14.3908403402778-C,COMPLETE,APPROVED,Approved,AR
13.219390683237-D,10-12-2020,?IREC343@.com,241360.98,Invoi1-TT,COMPLETE,-0.01,11-Rebill,BIANC55@.com,1.91,04-12-2020,16-12-2020,18-12-2020,14-12-2020,-241360.98,-241360.98,DE,14.4916242580703-C,COMPLETE,COMPLETE,Approved,OKS
13.2193908965999-D,10-12-2020,?IREC356@.com,54143.05,Lic C1-TT,COMPLETE,-0.01,4-Rebill,ANDRA29@.com,0.23,26-12-2019,14-12-2020,14-12-2020,14-12-2020,-54143.05,,LV,14.493504133663-C,COMPLETE,COMPLETE,Approved,AR
13.2193911099628-D,10-12-2020,?IREC351@.com,38750570,Invoi1-TT,COMPLETE,-1,4-Rebill,JOSE.141@.com,17.58,28-11-2020,11-12-2020,,11-12-2020,-38750570,,CL,14.0179232706401-C,NOTIFIED,,Approved,OKS
13.2193913233256-D,10-12-2020,?IREC346@.com,248145513.2,Invoi1-TT,COMPLETE,-248145513.2,5-Credit,NANDI220@.com,5.06,30-11-2020,23-12-2020,28-12-2020,28-12-2020,-248145513.2,,IN,14.3118908883824-C,COMPLETE,COMPLETE,Approved,AR
13.2193915366883-D,10-12-2020,?IREC349@.com,2225.56,Invoi1-TT,COMPLETE,-1266.32,10-Credit,HARSH125@.com,0.7,16-08-2019,17-12-2020,18-12-2020,18-12-2020,-1266.31,,US,14.3819622261207-C,COMPLETE,COMPLETED,Approved,Cash Apps
13.219391750051-D,10-12-2020,?OM-C367@.com,64167.64,Lic C1-TT,COMPLETE,-0.01,11-Rebill,BIANC55@.com,0.01,05-11-2020,18-12-2020,18-12-2020,18-12-2020,-64167.64,,DE,14.4309787621865-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193919634137-D,10-12-2020,?OM-C347@.com,193413.26,Hosti1-TT,COMPLETE,-0.01,2-Rebill,YOLAN336@.com,0.01,06-08-2020,18-12-2020,18-12-2020,18-12-2020,-193413.26,,MX,14.2523763668251-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193921767762-D,10-12-2020,?IREC359@.com,15754619,Proje1-TT,COMPLETE,-1,24-Rebill,JOSE.141@.com,0.22,09-12-2020,16-12-2020,16-12-2020,14-12-2020,-15754619,,CL,14.1290133897363-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193923901388-D,10-12-2020,?IREC359@.com,15754619,Proje1-TT,COMPLETE,-1,24-Rebill,JOSE.141@.com,0.22,09-12-2020,16-12-2020,16-12-2020,14-12-2020,-15754619,,CL,14.1290133897363-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193926035013-D,10-12-2020,?IREC359@.com,10968406,Proje1-TT,COMPLETE,-1,24-Rebill,JOSE.141@.com,0.22,09-12-2020,16-12-2020,16-12-2020,14-12-2020,-10968406,,CL,14.1290133897363-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193928168637-D,10-12-2020,?OM-C347@.com,64868.64,Hosti1-TT,COMPLETE,-0.01,2-Rebill,YOLAN336@.com,0.01,07-09-2020,18-12-2020,18-12-2020,18-12-2020,-64868.64,,MX,14.2523763668251-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193930302261-D,10-12-2020,?IREC357@.com,749.5,Proje1-TT,COMPLETE,-23.96,2-Rebill,CHAND66@.com,2.89,14-01-2020,21-12-2020,23-12-2020,18-12-2020,-749.5,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193932435884-D,10-12-2020,?OM-C347@.com,64868.64,Hosti1-TT,COMPLETE,-0.01,2-Rebill,YOLAN336@.com,0.01,07-10-2020,18-12-2020,18-12-2020,18-12-2020,-64868.64,,MX,14.2523763668251-C,COMPLETE,COMPLETE,Approved,GOM CMRB
13.2193934569507-D,10-12-2020,?IREC357@.com,8636.71,Proje1-TT,COMPLETE,-3392.45,2-Rebill,CHAND66@.com,3.01,07-05-2020,20-12-2020,23-12-2020,17-12-2020,-8636.71,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193936703129-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3.01,07-08-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193938836751-D,10-12-2020,?OM-C341@.com,147096,S/Paa1-TT,NOT_APPROVED,-0.01,14-Rebill,EKTA.104@.com,6.89,28-10-2020,11-12-2020,18-12-2020,,,,US,14.4690654935061-C,COMPLETE,REJECTED,Rejected,GOM CMRB
13.2193940970372-D,10-12-2020,?OPAP361@.com,14007.41,920Co1-TT,PENDING_APPROVAL,-14007.41,21-Rebill,JUDY.143@.com,4.42,27-10-2020,24-12-2020,,,,,US,14.5041783804229-C,NOTIFIED,,Pending Approval,Project Accounting
13.2193943103993-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3.01,07-08-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193945237613-D,10-12-2020,?IREC360@.com,154806.86,Invoi1-TT,COMPLETE,-0.01,25-Rebill,SELVA282@.com,3.01,07-08-2020,11-12-2020,14-12-2020,11-12-2020,-154806.86,,CR,14.0174000960149-C,COMPLETE,COMPLETE,Approved,AR
13.2193947371232-D,10-12-2020,?IREC357@.com,9510.29,Proje1-TT,COMPLETE,-1808.89,2-Rebill,CHAND66@.com,2.89,02-06-2020,21-12-2020,23-12-2020,18-12-2020,-9510.29,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2193949504851-D,10-12-2020,?IREC357@.com,25863.16,Proje1-TT,COMPLETE,-1777.76,2-Rebill,CHAND66@.com,3.02,03-08-2020,20-12-2020,23-12-2020,17-12-2020,-25863.16,,DK,14.0680936851586-C,COMPLETE,COMPLETE,Approved,Project Accounting
